M HIP_ID Dist RA_J2000 DEC_J2000 V_MAG Parallax PM_RA PM_DEC CCDM Sp_Type HIP_ID_STR FLUX_J FLUX_H FLUX_K
M 22155 N/A 04:46:01.33 -70:09:39.9 9.91 1.18 -1.67 -25.29 -------- A0V hip22155 9.84000015258789 9.859999656677246 9.86400032043457
M 22435 N/A 04:49:41.60 -12:02:35.4 8.25 1.16 5.15 -2.77 -------- A0V hip22435 8.166999816894531 8.210000038146973 8.222999572753906
M 22448 N/A 04:49:48.17 -54:27:16.3 7.78 1.35 -8.7 -9.25 04498-5427 B9.5/A0V hip22448 7.7179999351501465 7.736999988555908 7.715000152587891
M 22605 N/A 04:51:48.06 -12:44:45.5 8.08 6.39 -8.77 -3.47 -------- A0V hip22605 7.960999965667725 7.9720001220703125 7.9710001945495605
M 22679 N/A 04:52:37.96 -16:51:58.9 8.86 4.3 3.95 4.47 -------- A0V hip22679 8.763999938964844 8.79699993133545 8.788000106811523
M 22748 N/A 04:53:36.85 -52:19:44.8 8.04 4.82 9.36 17.79 -------- A0V hip22748 7.939000129699707 8.02400016784668 7.978000164031982
M 22842 N/A 04:54:51.24 +44:03:39.1 6.06 9.59 21.34 -56.4 -------- A0V hip22842 6.047999858856201 6.103000164031982 6.10699987411499
M 22845 N/A 04:54:53.72 +10:09:02.9 4.64 27.04 40.08 -128.37 04548+1009 A0V hip22845 4.8460001945495605 4.517000198364258 4.415999889373779
M 22865 N/A 04:55:08.27 -30:17:10.1 7.62 5.0 -0.41 10.02 -------- A0V hip22865 7.611999988555908 7.625999927520752 7.6529998779296875
M 22923 N/A 04:55:58.35 +05:23:56.4 6.5 6.66 -18.89 -13.98 -------- A0V hip22923 6.390999794006348 6.449999809265137 6.416999816894531
M 23058 N/A 04:57:44.64 -13:42:17.9 7.57 5.17 -10.86 -2.14 -------- A0V hip23058 7.438000202178955 7.385000228881836 7.3470001220703125
M 23088 N/A 04:58:09.40 +25:03:01.4 5.79 11.01 26.23 -47.62 04581+2503 A0V hip23088 5.724999904632568 5.7820000648498535 5.7729997634887695
M 23226 N/A 04:59:53.07 +27:19:13.5 9.11 -7.31 3.53 -35.29 04599+2719 A0V hip23226 8.029000282287598 8.01099967956543 7.921999931335449
M 23237 N/A 05:00:01.24 -15:47:55.2 8.38 4.73 -5.87 -1.17 -------- A0V hip23237 8.253000259399414 8.307999610900879 8.26200008392334
M 23238 N/A 05:00:01.24 -34:10:00.7 7.9 3.26 1.3 9.94 -------- A0V hip23238 7.8480000495910645 7.896999835968018 7.849999904632568
M 23252 N/A 05:00:13.68 -57:36:27.8 8.04 3.97 12.33 17.89 -------- A0V hip23252 7.980000019073486 7.986000061035156 7.956999778747559
M 23276 N/A 05:00:28.09 -69:21:00.9 8.75 3.97 5.51 -0.23 -------- A0V hip23276 8.642000198364258 8.675999641418457 8.663999557495117
M 23600 N/A 05:04:26.77 -67:17:42.7 10.88 -0.9 1.42 9.31 -------- A0V hip23600 10.699999809265137 10.697999954223633 10.677000045776367
M 23660 N/A 05:05:06.12 -60:08:11.9 10.04 1.11 8.61 -0.33 -------- A0V hip23660 10.029999732971191 10.055000305175781 9.97599983215332
M 23663 N/A 05:05:06.66 -68:05:11.1 7.86 2.02 6.68 3.93 -------- A0V hip23663 7.828000068664551 7.873000144958496 7.870999813079834
M 23671 N/A 05:05:17.30 -21:15:30.5 7.83 2.5 -5.04 -16.13 -------- A0V hip23671 7.710000038146973 7.776000022888184 7.736000061035156
M 23691 N/A 05:05:29.78 -47:53:23.9 11.0 2.69 63.09 -135.11 -------- A0V... hip23691 10.741999626159668 10.753000259399414 10.694999694824219
M 23737 N/A 05:06:09.29 -73:02:15.6 6.26 7.7 17.48 62.26 -------- A0V hip23737 6.218999862670898 6.238999843597412 6.214000225067139
M 23791 N/A 05:06:44.08 -14:26:40.3 9.32 2.12 24.02 2.49 -------- A0V hip23791 9.22700023651123 9.204000473022461 9.192000389099121
M 23819 N/A 05:07:11.88 -03:29:46.9 8.3 3.71 11.06 -14.67 -------- A0V hip23819 8.041999816894531 7.994999885559082 7.988999843597412
M 24092 N/A 05:10:32.96 -18:39:44.8 8.08 4.69 -0.41 9.74 -------- A0V hip24092 8.034000396728516 8.081999778747559 8.088000297546387
M 24266 N/A 05:12:29.12 -00:30:34.3 8.89 3.91 -2.27 -6.08 -------- A0V hip24266 8.78600025177002 8.838000297546387 8.75
M 24297 N/A 05:12:50.01 -01:33:49.3 9.48 5.27 0.24 -0.57 -------- A0V hip24297 9.300000190734863 9.303000450134277 9.232999801635742
M 24311 N/A 05:13:00.93 -00:05:31.0 8.01 6.31 -1.09 -6.84 -------- A0V hip24311 7.699999809265137 7.715000152587891 7.644999980926514
M 24342 N/A 05:13:26.84 -02:37:37.2 9.29 4.8 -0.96 1.76 -------- A0V hip24342 8.942000389099121 8.89799976348877 8.803000450134277
M 24442 N/A 05:14:37.00 +02:33:49.4 9.21 2.67 -1.49 -4.63 -------- A0V hip24442 9.093999862670898 9.093000411987305 9.072999954223633
M 24451 N/A 05:14:44.27 +53:12:50.2 6.16 1.9 -1.91 0.31 -------- A0V hip24451 5.750999927520752 5.729000091552734 5.690999984741211
M 24492 N/A 05:15:18.22 -12:43:39.5 8.44 4.58 7.12 -0.77 -------- A0V hip24492 8.336999893188477 8.392999649047852 8.310999870300293
M 24508 N/A 05:15:25.79 +15:37:48.4 9.12 5.2 -6.59 -5.6 -------- A0V hip24508 8.722999572753906 8.704999923706055 8.654000282287598
M 24555 N/A 05:16:04.13 +11:20:28.8 5.52 8.86 -8.52 -6.54 -------- A0V hip24555 5.442999839782715 5.473999977111816 5.461999893188477
M 24607 N/A 05:16:41.04 +01:56:50.3 6.42 5.36 -10.86 -6.61 -------- A0V hip24607 6.353000164031982 6.377999782562256 6.302999973297119
M 24731 N/A 05:18:11.83 -12:28:59.3 9.83 2.59 -6.91 -3.13 -------- A0V hip24731 9.640000343322754 9.654000282287598 9.539999961853027
